RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
DeAndre Liggins,MIA,1,1.0,1.000,0.0,0.0,41.3,130.5,0.0,62.8,129.47,0.0,0.0
Tony Mitchell,MIL,3,3.3,.600,16.7,0.0,21.8,11.1,0.0,5.7,31.00,0.0,0.0
Kevin Durant,OKC,81,38.5,.635,16.1,10.3,31.2,2.2,18.6,10.8,29.90,903.8,30.1
LeBron James,MIA,77,37.7,.649,20.6,11.4,29.1,3.6,18.9,11.5,29.40,818.5,27.3
Kevin Love,MIN,77,36.3,.591,15.2,8.7,27.7,8.5,29.5,18.7,26.97,645.8,21.5
Anthony Davis,NO,67,35.2,.582,7.4,7.7,23.2,10.0,23.3,16.6,26.54,529.3,17.6
DeMarcus Cousins,SAC,71,32.4,.555,10.8,13.1,30.7,10.6,30.5,20.4,26.18,534.5,17.8
Chris Paul,LAC,62,35.0,.580,36.2,7.9,25.0,2.0,11.4,6.9,25.98,485.2,16.2
Brook Lopez,BKN,17,31.4,.629,4.9,8.7,24.1,8.8,14.1,11.5,25.50,118.6,4.0
Russell Westbrook,OKC,46,30.7,.545,22.5,12.5,33.5,4.6,15.9,10.5,24.74,289.6,9.7
Carmelo Anthony,NY,77,38.7,.561,10.4,8.5,30.1,5.6,19.4,12.3,24.50,623.0,20.8
Stephen Curry,GS,78,36.5,.610,26.7,11.8,28.2,1.8,10.9,6.4,24.13,557.6,18.6
Blake Griffin,LAC,80,35.8,.583,14.1,10.2,27.1,7.7,21.2,14.7,23.98,533.3,17.8
Dirk Nowitzki,DAL,80,32.9,.603,12.2,6.6,24.9,1.8,20.0,10.9,23.68,477.7,15.9
Brandan Wright,DAL,58,18.6,.695,7.0,7.9,15.8,11.0,15.1,13.1,23.60,194.5,6.5
James Harden,HOU,73,38.0,.618,20.2,12.0,26.8,2.6,10.7,6.9,23.51,539.2,18.0
Al Jefferson,CHA,73,35.0,.532,8.7,7.0,26.7,6.9,28.3,17.5,22.75,462.9,15.4
Andre Drummond,DET,81,32.3,.599,3.3,10.4,15.6,17.5,27.7,22.3,22.65,470.9,15.7
Al Horford,ATL,29,33.0,.588,12.7,10.7,22.7,8.0,21.4,14.8,22.08,164.2,5.5
Dwyane Wade,MIA,54,32.9,.588,19.6,12.5,26.1,4.4,12.4,8.5,22.06,306.3,10.2
LaMarcus Aldridge,POR,69,36.2,.507,9.5,6.5,27.9,7.2,25.6,16.5,21.84,385.7,12.9
Goran Dragic,PHX,76,35.1,.604,23.1,11.0,24.1,2.9,7.4,5.2,21.43,435.4,14.5
Tim Duncan,SA,74,29.2,.535,15.4,11.2,23.5,8.6,28.3,18.8,21.40,318.8,10.6
Dwight Howard,HOU,71,33.7,.600,9.1,15.9,22.0,11.4,27.9,20.1,21.36,384.8,12.8
Nikola Pekovic,MIN,54,30.8,.582,5.3,8.9,21.1,13.1,17.6,15.3,20.72,251.2,8.4
Isaiah Thomas,SAC,72,34.7,.574,23.4,11.0,26.1,2.1,7.5,4.7,20.54,355.6,11.9
Kyle Lowry,TOR,79,36.2,.567,28.9,9.6,23.4,3.6,11.5,7.5,20.20,392.9,13.1
Paul George,IND,80,36.2,.555,13.7,10.8,26.4,2.6,17.7,10.5,20.16,417.9,13.9
Kyrie Irving,CLE,71,35.2,.533,21.6,9.5,27.8,2.3,9.5,5.8,20.14,340.4,11.3
Mike Conley,MEM,73,33.5,.545,25.3,8.6,24.7,2.0,8.4,5.2,20.07,331.0,11.0
Manu Ginobili,SA,68,22.8,.590,25.7,12.2,24.2,2.3,12.0,7.3,20.06,221.2,7.4
Joakim Noah,CHI,80,35.3,.531,27.4,12.3,18.9,11.6,24.5,18.2,20.06,398.3,13.3
Kenneth Faried,DEN,80,27.2,.573,8.1,11.4,19.7,11.8,22.2,16.9,19.90,273.1,9.1
Paul Millsap,ATL,74,33.5,.545,14.2,11.3,23.7,7.2,21.9,14.6,19.83,308.4,10.3
Serge Ibaka,OKC,81,32.9,.576,6.7,9.7,18.0,10.0,19.6,15.0,19.66,324.8,10.8
Eric Bledsoe,PHX,43,32.9,.578,22.6,13.8,24.4,2.1,13.8,8.0,19.62,182.2,6.1
John Wall,WSH,82,36.3,.524,28.5,11.7,27.7,1.5,11.7,6.5,19.61,383.0,12.8
Kawhi Leonard,SA,66,29.1,.602,14.6,8.8,17.0,4.6,18.9,12.1,19.43,256.3,8.5
Jordan Hill,LAL,72,20.8,.579,7.4,10.3,17.6,13.8,24.3,19.0,19.39,176.6,5.9
Pau Gasol,LAL,60,31.4,.522,15.0,10.5,24.4,7.0,25.9,16.4,19.34,245.8,8.2
Maalik Wayns,LAC,2,4.5,.500,50.0,0.0,11.6,0.0,23.9,12.3,19.30,0.0,0.0
David Lee,GS,69,33.2,.566,10.4,10.8,22.4,8.8,21.6,15.3,19.21,263.2,8.8
Terrence Jones,HOU,76,27.3,.577,9.1,7.4,16.8,9.2,18.5,14.1,19.14,236.9,7.9
Cole Aldrich,NY,46,7.2,.620,13.2,16.9,12.2,12.8,33.8,23.0,19.11,41.9,1.4
Chris Bosh,MIA,79,32.0,.597,6.8,9.7,20.0,5.1,20.3,13.0,19.11,321.5,10.7
