RK,NAME,TEAM,SALARY
Kobe Bryant,SG,Los Angeles Lakers,30453805
Dirk Nowitzki,PF,Dallas Mavericks,22721381
Amar'e Stoudemire,PF,New York Knicks,21679893
Joe Johnson,SG,Brooklyn Nets,21466718
Carmelo Anthony,SF,New York Knicks,21388953
Dwight Howard,C,Houston Rockets,20513178
Pau Gasol,C,Los Angeles Lakers,19285850
Chris Bosh,C,Miami Heat,19067500
LeBron James,SF,Miami Heat,19067500
Dwyane Wade,SG,Miami Heat,18673000
Chris Paul,PG,Los Angeles Clippers,18668431
Deron Williams,PG,Brooklyn Nets,18466130
Zach Randolph,PF,Memphis Grizzlies,18238333
Rudy Gay,SF,Toronto Raptors,17888932
Kevin Durant,SF,Oklahoma City Thunder,17832627
Derrick Rose,PG,Chicago Bulls,17632688
Blake Griffin,PF,Los Angeles Clippers,16441500
Paul Pierce,SF,Brooklyn Nets,15333334
Carlos Boozer,PF,Chicago Bulls,15300000
LaMarcus Aldridge,PF,Portland Trail Blazers,14878000
Marc Gasol,C,Memphis Grizzlies,14860523
Russell Westbrook,PG,Oklahoma City Thunder,14693906
Kevin Love,PF,Minnesota Timberwolves,14693906
Emeka Okafor,C,Phoenix Suns,14487500
Roy Hibbert,C,Indiana Pacers,14283844
Eric Gordon,SG,New Orleans Pelicans,14283844
Luol Deng,SF,Cleveland Cavaliers,14275000
Tyson Chandler,C,New York Knicks,14100538
Andrew Bogut,C,Golden State Warriors,14000000
David Lee,PF,Golden State Warriors,13878000
James Harden,SG,Houston Rockets,13701250
Al Jefferson,C,Charlotte Bobcats,13500000
Josh Smith,SF,Detroit Pistons,13500000
Ben Gordon,SG,Charlotte Bobcats,13200000
Nene Hilario,PF,Washington Wizards,13000000
Andre Iguodala,SF,Golden State Warriors,12868632
Tony Parker,PG,San Antonio Spurs,12500000
Kevin Garnett,C,Brooklyn Nets,12433735
Serge Ibaka,PF,Oklahoma City Thunder,12350000
Nikola Pekovic,C,Minnesota Timberwolves,12100000
David West,PF,Indiana Pacers,12000000
Kris Humphries,C,Boston Celtics,12000000
Al Horford,C,Atlanta Hawks,12000000
Rajon Rondo,PG,Boston Celtics,11954545
Andrea Bargnani,C,New York Knicks,11862500
Tyreke Evans,SF,New Orleans Pelicans,11796247
Nicolas Batum,SF,Portland Trail Blazers,11295250
Joakim Noah,C,Chicago Bulls,11100000
Richard Jefferson,SF,Utah Jazz,11046000
DeAndre Jordan,C,Los Angeles Clippers,10986550
Mehmet Okur,C,Brooklyn Nets,10890000
Ty Lawson,PG,Denver Nuggets,10786517
JaVale McGee,C,Denver Nuggets,10750000
Tim Duncan,PF,San Antonio Spurs,10361446
Danilo Gallinari,SF,Denver Nuggets,10146925
Gerald Wallace,SF,Boston Celtics,10105855
Tiago Splitter,C,San Antonio Spurs,10000000
Stephen Curry,PG,Golden State Warriors,9887642
Jrue Holiday,PG,New Orleans Pelicans,9713484
DeMar DeRozan,SG,Toronto Raptors,9500000
Paul Millsap,PF,Atlanta Hawks,9500000
Shawn Marion,SF,Dallas Mavericks,9316796
Steve Nash,PG,Los Angeles Lakers,9300500
Anderson Varejao,C,Cleveland Cavaliers,9036364
Andris Biedrins,C,Utah Jazz,9000000
Thaddeus Young,PF,Philadelphia 76ers,8850000
Kendrick Perkins,C,Oklahoma City Thunder,8727437
Jeff Green,SF,Boston Celtics,8700000
Mike Conley,PG,Memphis Grizzlies,8600001
Jameer Nelson,PG,Orlando Magic,8600000
Charlie Villanueva,PF,Detroit Pistons,8580000
Rodney Stuckey,SG,Detroit Pistons,8500000
Jeremy Lin,PG,Houston Rockets,8374646
Omer Asik,C,Houston Rockets,8374646
Ryan Anderson,PF,New Orleans Pelicans,8308500
Marcus Thornton,SG,Sacramento Kings,8050000
George Hill,PG,Indiana Pacers,8000000
Tyrus Thomas,PF,Charlotte Hornets,8000000
O.J. Mayo,SG,Milwaukee Bucks,8000000
Jeff Teague,PG,Atlanta Hawks,8000000
Mark Blount,C,Miami Heat,7967375
Ersan Ilyasova,PF,Milwaukee Bucks,7900000
Marcin Gortat,C,Washington Wizards,7727280
Trevor Ariza,SF,Washington Wizards,7727280
Brandon Jennings,PG,Detroit Pistons,7655503
James Posey,SF,Indiana Pacers,7595600
John Salmons,SF,Toronto Raptors,7583000
Taj Gibson,PF,Chicago Bulls,7550000
Marvin Williams,PF,Utah Jazz,7500000
Arron Afflalo,SG,Orlando Magic,7500000
John Wall,PG,Washington Wizards,7459925
Tayshaun Prince,SF,Memphis Grizzlies,7235955
Wesley Matthews,SG,Portland Trail Blazers,6875480
Jose Calderon,PG,Dallas Mavericks,6791570
Kyle Korver,SG,Atlanta Hawks,6760563
Evan Turner,SF,Philadelphia 76ers,6679867
Morris Peterson,SG,Other,6665000
Andres Nocioni,SF,Philadelphia 76ers,6650000
