NO.,NAME,POS,AGE,HT,WT,COLLEGE
6,Pero Antic,C,31,6-11,260
14,Gustavo Ayon,PF,29,6-10,250 
42,Elton Brand,PF,35,6-9,254,Duke
5,DeMarre Carroll,SF,27,6-8,212,Missouri
15,Al Horford,C,28,6-10,250,Florida
12,John Jenkins,SG,23,6-4,215,Vanderbilt
26,Kyle Korver,SG,33,6-7,212,Creighton
8,Shelvin Mack,PG,24,6-3,207,Butler
20,Cartier Martin,SF,29,6-7,220,Kansas State
4,Paul Millsap,PF,29,6-8,253,Louisiana Tech
31,Mike Muscala,C,23,6-11,239,Bucknell
21,Lamar Patterson,SG,22,6-5,212,Pittsburgh
5,Adreian Payne,PF,23,6-10,245,Michigan State
--,John Salmons,SF,34,6-6,207,Miami (FL)
17,Dennis Schroder,PG,20,6-1,168
32,Mike Scott,PF,25,6-8,237,Virginia
--,Walter Tavares,C,22,7-3,260 
0,Jeff Teague,PG,26,6-2,181,Wake Forest
50,Joel Anthony,C,31,6-9,245,UNLV
52,Chris Babb,SG,24,6-5,225,Iowa State
30,Brandon Bass,PF,29,6-8,250,LSU
11,Jerryd Bayless,PG,25,6-3,200,Arizona
4,Keith Bogans,SG,34,6-5,215,Kentucky
0,Avery Bradley,PG,23,6-2,180,Texas
38,Vitor Faverani,C,26,6-11,260
8,Jeff Green,SF,27,6-9,235,Georgetown
43,Kris Humphries,C,29,6-9,235,Minnesota
12,Chris Johnson,SF,24,6-6,201,Dayton
41,Kelly Olynyk,C,23,7-0,238,Gonzaga
26,Phil Pressey,PG,23,5-11,175,Missouri
9,Rajon Rondo,PG,28,6-1,186,Kentucky
--,Marcus Smart,PG,20,6-4,220,Oklahoma State
7,Jared Sullinger,C,22,6-9,260,Ohio State
45,Gerald Wallace,SF,31,6-7,220,Alabama
1,James Young,SG,18,6-6,215,Kentucky
6,Alan Anderson,SF,31,6-6,220,Michigan State
0,Andray Blatche,C,27,6-11,260 
22,Markel Brown,SG,22,6-3,190,Oklahoma State
98,Jason Collins,C,35,7-0,255,Stanford
2,Kevin Garnett,C,38,6-11,253
13,Jorge Gutierrez,PG,25,6-3,195,California
7,Joe Johnson,SG,33,6-7,240,Arkansas
47,Andrei Kirilenko,SF,33,6-9,235
14,Shaun Livingston,PG,28,6-7,175 
11,Brook Lopez,C,26,7-0,275,Stanford
34,Paul Pierce,SF,36,6-7,235,Kansas
1,Mason Plumlee,PF,24,6-11,235,Duke
12,Marquis Teague,PG,21,6-2,190,Kentucky
33,Mirza Teletovic,PF,28,6-9,242
10,Marcus Thornton,SG,27,6-4,205,LSU
8,Deron Williams,PG,30,6-3,209,Illinois
0,Bismack Biyombo,C,21,6-9,245 
0,Semaj Christon,PG,21,6-3,190,Xavier
55,Chris Douglas-Roberts,SG,27,6-7,210,Memphis
--,P.J. Hairston,SG,21,6-6,230,North Carolina
33,Brendan Haywood,C,34,7-0,263,North Carolina
9,Gerald Henderson,SG,26,6-5,215,Duke
25,Al Jefferson,C,29,6-10,289 
14,Michael Kidd-Gilchrist,SF,20,6-7,232,Kentucky
12,Gary Neal,SG,29,6-4,210,Towson
5,Jannero Pargo,PG,34,6-1,185,Arkansas
33,Dwight Powell,PF,22,6-11,240,Stanford
13,Luke Ridnour,PG,33,6-2,175,Oregon
44,Jeff Taylor,SF,25,6-7,225,Vanderbilt
43,Anthony Tolliver,PF,29,6-8,240,Creighton
1,Noah Vonleh,PF,18,6-10,240,Indiana
15,Kemba Walker,PG,24,6-1,184,Connecticut
8,D.J. White,PF,27,6-9,250,Indiana
40,Cody Zeller,C,21,7-0,240,Indiana
17,Lou Amundson,PF,31,6-9,225,UNLV
14,D.J. Augustin,PG,26,6-0,183,Texas
41,Cameron Bairstow,PF,23,6-9,250,New Mexico
5,Carlos Boozer,PF,32,6-9,266,Duke
11,Ronnie Brewer,SF,29,6-7,235,Arkansas
21,Jimmy Butler,SG,24,6-7,220,Marquette
34,Mike Dunleavy,SF,33,6-9,230,Duke
32,Jimmer Fredette,PG,25,6-2,195,Brigham Young
22,Taj Gibson,PF,29,6-9,225,USC
12,Kirk Hinrich,SG,33,6-4,190,Kansas
8,Mike James,PG,39,6-2,188,Duquesne
3,Doug McDermott,SF,22,6-8,225,Creighton
48,Nazr Mohammed,C,36,6-10,250,Kentucky
13,Joakim Noah,C,29,6-11,232,Florida
15,Anthony Randolph,PF,24,6-11,225,LSU
1,Derrick Rose,PG,25,6-3,190,Memphis
9,Greg Smith,PF,23,6-10,250,Fresno State
20,Tony Snell,SG,22,6-7,200,New Mexico
15,Anthony Bennett,SF,21,6-8,259,UNLV
8,Matthew Dellavedova,SG,23,6-4,200,Saint Mary's
9,Luol Deng,SF,29,6-9,220,Duke
30,Carrick Felix,SG,23,6-6,201,Arizona State
33,Alonzo Gee,SF,27,6-6,225,Alabama
12,Joe Harris,SG,22,6-6,225,Virginia
32,Spencer Hawes,C,26,7-1,245,Washington
24,Scotty Hopson,SG,24,6-7,204,Tennessee
2,Kyrie Irving,PG,22,6-3,193,Duke
1,Jarrett Jack,PG,30,6-3,200,Georgia Tech
10,Sergey Karasev,SG,20,6-7,196 
0,C.J. Miles,SG,27,6-6,231 
13,Tristan Thompson,PF,23,6-9,238,Texas
17,Anderson Varejao,C,31,6-11,267 
3,Dion Waiters,SG,22,6-4,225,Syracuse
22,Andrew Wiggins,SG,19,6-8,200,Kansas
40,Tyler Zeller,C,24,7-0,253,North Carolina
45,DeJuan Blair,C,25,6-7,270,Pittsburgh
25,Vince Carter,SG,37,6-6,220,North Carolina
6,Tyson Chandler,C,31,7-1,240 
9,Jae Crowder,SF,24,6-6,235,Marquette
11,Monta Ellis,SG,28,6-3,185 
2,Raymond Felton,PG,30,6-1,205,North Carolina
20,Devin Harris,PG,31,6-3,192,Wisconsin
5,Bernard James,C,29,6-10,240,Florida State
7,Ricky Ledo,SG,21,6-7,195,Providence
0,Shawn Marion,SF,36,6-7,228,UNLV
33,Gal Mekel,PG,26,6-3,191,Wichita State
41,Dirk Nowitzki,PF,36,7-0,245 
34,Brandan Wright,PF,26,6-10,210,North Carolina
--,Arron Afflalo,SG,28,6-5,215,UCLA
00,Darrell Arthur,PF,26,6-9,235,Kansas
0,Aaron Brooks,PG,29,6-0,161,Oregon
21,Wilson Chandler,SF,27,6-8,225,DePaul
35,Kenneth Faried,PF,24,6-8,228,Morehead State
4,Randy Foye,SG,30,6-4,213,Villanova
8,Danilo Gallinari,SF,25,6-10,225 
14,Gary Harris,SG,19,6-4,210,Michigan State
7,J.J. Hickson,C,25,6-9,242,North Carolina State
13,Nikola Jokic,PF,19,6-10,254 
3,Ty Lawson,PG,26,5-11,195,North Carolina
34,JaVale McGee,C,26,7-0,270,Nevada
30,Quincy Miller,SF,21,6-9,210,Baylor
25,Timofey Mozgov,C,27,7-1,250 
--,Jusuf Nurkic,C,19,6-11,280 
10,Nate Robinson,PG,30,5-9,180,Washington
24,Jan Vesely,PF,24,7-0,242 
1,Chauncey Billups,SG,37,6-3,210,Colorado
12,Will Bynum,PG,31,6-0,185,Georgia Tech
5,Kentavious Caldwell-Pope,SG,21,6-5,205,Georgia
13,Luigi Datome,SF,26,6-8,215 
25,Spencer Dinwiddie,PG,21,6-6,200,Colorado
0,Andre Drummond,C,20,6-10,270,Connecticut
55,Josh Harrellson,PF,25,6-10,275,Kentucky
7,Brandon Jennings,PG,24,6-1,169 
33,Jonas Jerebko,PF,27,6-10,231 
9,Tony Mitchell,PF,22,6-8,235,North Texas
10,Greg Monroe,PF,24,6-11,250,Georgetown
25,Kyle Singler,SF,26,6-8,230,Duke
34,Peyton Siva,PG,23,6-0,185,Louisville
6,Josh Smith,SF,28,6-9,225 
3,Rodney Stuckey,SG,28,6-5,205,Eastern Washington
31,Charlie Villanueva,PF,29,6-11,232,Connecticut
57,Hilton Armstrong,PF,29,6-11,235,Connecticut
40,Harrison Barnes,SF,22,6-8,210,North Carolina
25,Steve Blake,PG,34,6-3,172,Maryland
12,Andrew Bogut,C,29,7-0,260,Utah
55,Jordan Crawford,SG,25,6-4,195,Xavier
30,Stephen Curry,PG,26,6-3,185,Davidson
31,Festus Ezeli,C,24,6-11,255,Vanderbilt
23,Draymond Green,SF,24,6-7,230,Michigan State
9,Andre Iguodala,SF,30,6-6,207,Arizona
1,Ognjen Kuzmic,C,24,7-0,251 
10,David Lee,PF,31,6-9,240,Florida
8,Nemanja Nedovic,PG,23,6-3,192 
7,Jermaine O'Neal,C,35,6-11,255 
5,Marreese Speights,PF,26,6-10,255,Florida
11,Klay Thompson,SG,24,6-7,205,Washington State
3,Omer Asik,C,28,7-0,255 
2,Patrick Beverley,PG,25,6-1,185,Arkansas
1,Isaiah Canaan,PG,23,6-0,188,Murray State
--,Clint Capela,C,20,6-10,245 
18,Omri Casspi,SF,26,6-9,225 
33,Robert Covington,SF,23,6-9,215,Tennessee State
30,Troy Daniels,SG,22,6-4,204,Virginia Commonwealth
32,Francisco Garcia,SG,33,6-7,195,Louisville
--,Alessandro Gentile,SG,21,6-7,227 
5,Jordan Hamilton,SF,23,6-7,220,Texas
13,James Harden,SG,24,6-5,220,Arizona State
12,Dwight Howard,C,28,6-11,265 
13,Nick Johnson,SG,21,6-3,200,Arizona
6,Terrence Jones,PF,22,6-9,252,Kentucky
7,Jeremy Lin,PG,25,6-3,200,Harvard
20,Donatas Motiejunas,PF,23,7-0,222 
25,Chandler Parsons,SF,25,6-9,227,Florida
21,Josh Powell,PF,31,6-9,240,North Carolina State
5,Lavoy Allen,PF,25,6-9,255,Temple
8,Rasual Butler,SG,35,6-7,215,La Salle
17,Andrew Bynum,C,26,7-0,285 
22,Chris Copeland,SF,30,6-8,235,Colorado
24,Paul George,SF,24,6-9,220,Fresno State
55,Roy Hibbert,C,27,7-2,290,Georgetown
3,George Hill,PG,28,6-3,188,IUPUI
9,Solomon Hill,SF,23,6-7,225,Arizona
28,Ian Mahinmi,C,27,6-11,250 
4,Luis Scola,PF,34,6-9,240 
15,Donald Sloan,PG,26,6-3,205,Texas A&M
1,Lance Stephenson,SG,23,6-5,230,Cincinnati
12,Evan Turner,SF,25,6-7,220,Ohio State
32,C.J. Watson,PG,30,6-2,175,Tennessee
21,David West,PF,33,6-9,250,Xavier
22,Matt Barnes,SF,34,6-7,226,UCLA
25,Reggie Bullock,SG,23,6-7,205,North Carolina
2,Darren Collison,PG,26,6-0,175,UCLA
11,Jamal Crawford,SG,34,6-5,200,Michigan
9,Jared Dudley,SF,28,6-7,225,Boston College
33,Danny Granger,SF,31,6-9,228,New Mexico
32,Blake Griffin,PF,25,6-10,251,Oklahoma
15,Ryan Hollins,C,29,7-0,240,UCLA
6,DeAndre Jordan,C,25,6-11,265,Texas A&M
3,Chris Paul,PG,29,6-0,175,Wake Forest
4,J.J. Redick,SG,30,6-4,190,Duke
8,Hedo Turkoglu,SF,35,6-10,220 
23,C.J. Wilcox,SG,23,6-5,195,Washington
6,Kent Bazemore,SG,25,6-5,201,Old Dominion
2,MarShon Brooks,SG,25,6-5,200,Providence
24,Kobe Bryant,SG,35,6-6,205
5,Jordan Clarkson,PG,22,6-5,193,Missouri
1,Jordan Farmar,PG,27,6-2,180,UCLA
16,Pau Gasol,C,34,7-0,250 
7,Xavier Henry,SF,23,6-6,220,Kansas
27,Jordan Hill,PF,26,6-10,235,Arizona
11,Wesley Johnson,SF,26,6-7,215,Syracuse
9,Chris Kaman,C,32,7-0,265,Central Michigan
4,Ryan Kelly,PF,23,6-11,230,Duke
12,Kendall Marshall,PG,22,6-4,195,North Carolina
20,Jodie Meeks,SG,26,6-4,208,Kentucky
10,Steve Nash,PG,40,6-3,178,Santa Clara
30,Julius Randle,PF,19,6-9,250,Kentucky
50,Robert Sacre,C,25,7-0,260,Gonzaga
0,Nick Young,SF,29,6-7,210,USC
3,Jordan Adams,SG,20,6-5,220,UCLA
9,Tony Allen,SG,32,6-4,213,Oklahoma State
12,Nick Calathes,SG,25,6-6,213,Florida
11,Mike Conley,PG,26,6-1,185,Ohio State
32,Ed Davis,PF,25,6-10,225,North Carolina
22,Jamaal Franklin,SG,22,6-5,191,San Diego State
33,Marc Gasol,C,29,7-1,265 
3,James Johnson,PF,27,6-9,248,Wake Forest
41,Kosta Koufos,C,25,7-0,265,Ohio State
5,Courtney Lee,SG,28,6-5,200,Western Kentucky
30,Jon Leuer,PF,25,6-10,228,Wisconsin
13,Mike Miller,SF,34,6-8,218,Florida
20,Quincy Pondexter,SF,26,6-6,225,Washington
21,Tayshaun Prince,SF,34,6-9,215,Kentucky
50,Zach Randolph,PF,32,6-9,260,Michigan State
5,Jarnell Stokes,PF,20,6-8,260,Tennessee
19,Beno Udrih,PG,32,6-3,210 
34,Ray Allen,SG,38,6-5,205,Connecticut
11,Chris Andersen,PF,36,6-10,245,Blinn College
31,Shane Battier,SF,35,6-8,220,Duke
1,Chris Bosh,C,30,6-11,235,Georgia Tech
15,Mario Chalmers,PG,28,6-2,190,Kansas
30,Norris Cole,PG,25,6-2,175,Cleveland State
0,Toney Douglas,PG,28,6-2,195,Florida State
7,Justin Hamilton,C,24,7-0,255,LSU
40,Udonis Haslem,PF,34,6-8,235,Florida
6,LeBron James,SF,29,6-8,250 
22,James Jones,SF,33,6-8,215,Miami (FL)
9,Rashard Lewis,PF,34,6-10,235 
13,Shabazz Napier,PG,22,6-1,180,Connecticut
20,Greg Oden,C,26,7-0,273,Ohio State
3,Dwyane Wade,SG,32,6-4,220,Marquette
12,Jeff Adrien,PF,28,6-7,245,Connecticut
34,Giannis Antetokounmpo,SG,19,6-9,205 
10,Carlos Delfino,SG,31,6-6,230 
31,John Henson,C,23,6-11,220,North Carolina
7,Ersan Ilyasova,PF,27,6-10,235 
7,Damien Inglis,SF,19,6-8,215 
11,Brandon Knight,PG,22,6-3,189,Kentucky
00,O.J. Mayo,SG,26,6-4,210,USC
22,Khris Middleton,PF,22,6-8,217,Texas A&M
2,Johnny O'Bryant III,PF,21,6-9,256 
27,Zaza Pachulia,C,30,6-11,275 
1,Jabari Parker,SF,19,6-8,235,Duke
9,Miroslav Raduljica,C,26,7-0,250 
8,Larry Sanders,C,25,6-11,235,Virginia Commonwealth
13,Ramon Sessions,PG,28,6-3,190,Nevada
5,Ekpe Udoh,PF,27,6-10,245,Baylor
6,Nate Wolters,PG,23,6-4,190,South Dakota State
15,Chris Wright,SF,25,6-9,226,Dayton
11,J.J. Barea,PG,30,6-0,178,Northeastern
13,Corey Brewer,SF,28,6-9,185,Florida
10,Chase Budinger,SF,26,6-7,209,Arizona
33,Dante Cunningham,PF,27,6-8,221,Villanova
5,Gorgui Dieng,C,24,6-11,238,Louisville
6,Robbie Hummel,SF,25,6-8,220,Purdue
0,Othyus Jeffers,SG,28,6-5,210 
14,Zach LaVine,PG,19,6-5,180,UCLA
42,Kevin Love,PF,25,6-10,243,UCLA
23,Kevin Martin,SG,31,6-7,197,Western Carolina
12,Luc Richard Mbah a Moute,PF,27,6-8,230,UCLA
15,Shabazz Muhammad,SF,21,6-6,222,UCLA
14,Nikola Pekovic,C,28,6-11,285 
1,Glenn Robinson III,SG,20,6-6,220,Michigan
9,Ricky Rubio,PG,23,6-4,185 
1,Alexey Shved,PG,25,6-6,187 
32,Ronny Turiaf,C,31,6-10,241,Gonzaga
42,Alexis Ajinca,C,26,7-2,248 
0,Al-Farouq Aminu,SF,23,6-9,215,Wake Forest
33,Ryan Anderson,PF,26,6-10,240,California
8,Luke Babbitt,SF,25,6-9,225,Nevada
